index_id,battery,camera,display,memory,name_a,price,processor,rating,reviews,warranty
815,3050 mAh Battery,13MP Rear Camera,13.84 cm (5.45 inch) Display,2 GB RAM | 16 GB ROM,"Tecno Camon i Sky (midnight black, 16 GB)",7999,12 Months,4.1,23 Reviews,
816,4000 mAh Li Polymer Battery,12MP Rear Camera | 5MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Redmi Note 5 (Black, 32 GB)",8299,Qualcomm Snapdragon 625 Processor,4.4,"43,588 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
817,3000 mAh Li Polymer Battery,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,"Redmi Go (Blue, 16 GB)",4999,Qualcomm Snapdragon 425 Processor,4.3,"13,123 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
818,3000 mAh Battery,13MP Rear Camera,13.46 cm (5.3 inch) Display,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,"Mobiistar C1 Shine (Gold, 16 GB)",3990,1  Year Manufacture Warranty,4.1,79 Reviews,
819,2500 mAh Battery,13MP Rear Camera | 5MP Front Camera,13.46 cm (5.3 inch) HD Display,3 GB RAM | 16 GB ROM | Expandable Upto 32 GB,"Panasonic P55 Novo (Midnight Blue, 16 GB)",6190,0 0 Octa Core 1.3GHz Processor,3.9,251 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
820,1600 mAh Battery,8MP Rear Camera,12.7 cm (5 inch) FWVGA Display,512 MB RAM | 4 GB ROM | Expandable Upto 32 GB,"Karbonn A19 (Black Silver, 4 GB)",6999,1 Year for Mobile & 6 Months for Accessories,3.3,8 Reviews,
821,3000 mAh Battery,16MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Full HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"LG Q7+ (Black, 64 GB)",13999,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.4,6 Reviews,
822,3060 mAh Battery,16MP + 5MP | 16MP Front Camera,14.73 cm (5.8 inch) Full HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 400 GB,"Nokia 6.1 Plus (Blue, 64 GB)",11990,Qualcomm Snapdragon 636 Octacore Processor,4.1,185 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
823,2000 mAh Li-Ion Battery,5MP Rear Camera | 2MP Front Camera,12.7 cm (5 inch) FWVGA Display,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,"Lava A82 (Gold/GoldM, 8 GB)",3749,SC7731C Processor,3.6,172 Reviews,Brand Warranty of 1 Year
824,2000 mAh Battery,5MP + 5MP | 2MP + 2MP Dual Front Camera,12.7 cm (5 inch) FWVGA Display,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,"Micromax Bharat 4 (Blue, 8 GB)",3998,12 Months Brand Warranty,3.8,105 Reviews,
825,4000 mAh Li Polymer Battery,12MP Rear Camera | 5MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Redmi Note 5 (Rose Gold, 32 GB)",7999,Qualcomm Snapdragon 625 Processor,4.4,"43,588 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
826,5000 mAh Battery,16MP Rear Camera,16.59 cm (6.53 inch) Display,6 GB RAM | 64 GB ROM,"Vivo U20 (Racing Black, 64 GB)",11998,NA,4.1,33 Reviews,
